,Arched_Eyebrows,Bags_Under_Eyes,Bangs,Black_Hair,Blond_Hair,Brown_Hair,Bushy_Eyebrows,Chubby,Eyeglasses,Heavy_Makeup,Male,No_Beard,Pale_Skin,Receding_Hairline,Smiling,Wavy_Hair,Wearing_Necktie,Young
z1,1.0,0.03756290143297541,0.03528503452392034,0.06235113099377419,0.05957498069836333,0.05844699852705241,0.03502220372672168,0.006028681410744304,0.0010787013968361742,0.19667957092872357,0.022324190837061334,0.2544311629715212,0.015578200375629014,0.019022378947253143,0.14774376187529772,0.12423683245084242,0.004243622246436726,0.2326490606536821
z2,0.03756290143297541,1.0,0.02276224216572577,0.04894676033664245,0.014932074665848971,0.03469914087183166,0.045059054794745576,0.026677325915664168,0.009100516353003664,0.021393331763649406,0.14582181167078254,0.14863629145745152,0.0061272429596938025,0.028725215877170408,0.12079812952082661,0.040760676132225795,0.035520487113077474,0.11906782677260208
z3,0.03528503452392034,0.02276224216572577,1.0,0.030882618670842757,0.03510981399245457,0.04146155825808889,0.012708964172876957,0.0017193514650079122,0.004643344083843024,0.07868496991134936,0.03521932682462067,0.14345085885438627,0.009626177947400987,2.1902566433221814e-05,0.08174585357039212,0.05814583823859561,0.002414757949262705,0.12055720129006116
z4,0.06235113099377419,0.04894676033664245,0.030882618670842757,1.0,1.642692482491636e-05,0.005826082671237002,0.07276032569116286,0.014647341302217088,0.013831470702579575,0.08015244186237522,0.12379878112217799,0.18076188077337962,0.006833600727165205,0.018507668636072432,0.11260656967480165,0.05678240347812755,0.01999156751192321,0.2041209678744107
z5,0.05957498069836333,0.014932074665848971,0.03510981399245457,1.642692482491636e-05,1.0,0.006203901942210079,0.0025680759142952575,0.0010951283216610907,0.002491416931778981,0.10137602873616716,0.008591281683431255,0.14765067596795656,0.010710354985845466,0.004988309505166268,0.08817973246015101,0.06906974324716499,0.0009472859982368434,0.12426421065888396
z6,0.05844699852705241,0.03469914087183166,0.04146155825808889,0.005826082671237002,0.006203901942210079,1.0,0.020571985522403587,0.0030608836590427482,0.005820607029628696,0.09778948348272709,0.06489182870002792,0.18503835686946618,0.007709703384494078,0.005453739041872231,0.10416313031479464,0.0940824741139043,0.007578287985894747,0.17885635749368933
z7,0.03502220372672168,0.045059054794745576,0.012708964172876957,0.07276032569116286,0.0025680759142952575,0.020571985522403587,1.0,0.008049193164209016,0.0030006516013513884,0.03354925613408751,0.10325964944942424,0.09274094191986947,0.004714527424750995,0.008399634227140565,0.06818816494822781,0.035066008859588126,0.016563815865123996,0.1235085721169378
z8,0.006028681410744304,0.026677325915664168,0.0017193514650079122,0.014647341302217088,0.0010951283216610907,0.0030608836590427482,0.008049193164209016,1.0,0.013880751477054323,0.0033620439474995483,0.05106583363905666,0.03344521894352971,0.0008596757325039561,0.016481681240999413,0.032163918807186234,0.007638520043586107,0.016202423518975835,0.016158618386109394
z9,0.0010787013968361742,0.009100516353003664,0.004643344083843024,0.013831470702579575,0.002491416931778981,0.005820607029628696,0.0030006516013513884,0.013880751477054323,1.0,0.0016810219737497742,0.05205144912855164,0.04444030729300706,0.0013305809108182251,0.01093485629178599,0.026261177153432954,0.009593324097751155,0.01316344242636631,0.02748224523208507
z10,0.19667957092872357,0.021393331763649406,0.07868496991134936,0.08015244186237522,0.10137602873616716,0.09778948348272709,0.03354925613408751,0.0033620439474995483,0.0016810219737497742,1.0,0.001160836020960756,0.38462549349219993,0.02116335481610058,0.016421449183308054,0.22722269981985138,0.19405673859834527,8.213462412458179e-05,0.3485136370854255
