,Arched_Eyebrows,Bags_Under_Eyes,Bangs,Black_Hair,Blond_Hair,Brown_Hair,Bushy_Eyebrows,Chubby,Eyeglasses,Heavy_Makeup,Male,No_Beard,Pale_Skin,Receding_Hairline,Smiling,Wavy_Hair,Wearing_Necktie,Young
Arched_Eyebrows,0.0,7741.0,7306.0,12903.0,12047.0,11745.0,7125.0,1247.0,229.0,40120.0,4513.0,51907.0,3190.0,3908.0,30278.0,25679.0,842.0,47351.0
Bags_Under_Eyes,7741.0,0.0,4595.0,10009.0,3032.0,6970.0,8948.0,5380.0,1844.0,4361.0,29404.0,30159.0,1235.0,5898.0,24585.0,8400.0,7194.0,24171.0
Bangs,7306.0,4595.0,0.0,6307.0,7095.0,8339.0,2525.0,344.0,942.0,16143.0,6950.0,29212.0,1940.0,4.0,16709.0,12123.0,480.0,24295.0
Black_Hair,12903.0,10009.0,6307.0,0.0,3.0,1136.0,14678.0,2987.0,2812.0,16682.0,25156.0,37305.0,1404.0,3867.0,23258.0,12055.0,4045.0,41889.0
Blond_Hair,12047.0,3032.0,7095.0,3.0,0.0,1220.0,491.0,221.0,517.0,20243.0,1749.0,29592.0,2136.0,1019.0,17697.0,13889.0,193.0,24773.0
Brown_Hair,11745.0,6970.0,8339.0,1136.0,1220.0,0.0,4076.0,616.0,1141.0,19692.0,12788.0,37090.0,1518.0,1079.0,20998.0,19153.0,1478.0,35679.0
Bushy_Eyebrows,7125.0,8948.0,2525.0,14678.0,491.0,4076.0,0.0,1595.0,581.0,6805.0,20622.0,18726.0,919.0,1679.0,13782.0,7171.0,3262.0,24805.0
Chubby,1247.0,5380.0,344.0,2987.0,221.0,616.0,1595.0,0.0,2754.0,706.0,10223.0,6770.0,173.0,3321.0,6472.0,1591.0,3246.0,3202.0
Eyeglasses,229.0,1844.0,942.0,2812.0,517.0,1141.0,581.0,2754.0,0.0,342.0,10478.0,9035.0,263.0,2188.0,5302.0,1999.0,2662.0,5504.0
Heavy_Makeup,40120.0,4361.0,16143.0,16682.0,20243.0,19692.0,6805.0,706.0,342.0,0.0,234.0,78318.0,4274.0,3372.0,46499.0,39927.0,15.0,70699.0
Male,4513.0,29404.0,6950.0,25156.0,1749.0,12788.0,20622.0,10223.0,10478.0,234.0,0.0,51132.0,2056.0,9913.0,33798.0,11892.0,14697.0,53447.0
No_Beard,51907.0,30159.0,29212.0,37305.0,29592.0,37090.0,18726.0,6770.0,9035.0,78318.0,51132.0,0.0,8205.0,12362.0,85786.0,59680.0,10012.0,134597.0
Pale_Skin,3190.0,1235.0,1940.0,1404.0,2136.0,1518.0,919.0,173.0,263.0,4274.0,2056.0,8205.0,0.0,366.0,2745.0,3213.0,324.0,7479.0
Receding_Hairline,3908.0,5898.0,4.0,3867.0,1019.0,1079.0,1679.0,3321.0,2188.0,3372.0,9913.0,12362.0,366.0,0.0,8516.0,2217.0,3381.0,8103.0
Smiling,30278.0,24585.0,16709.0,23258.0,17697.0,20998.0,13782.0,6472.0,5302.0,46499.0,33798.0,85786.0,2745.0,8516.0,0.0,34753.0,7043.0,74152.0
Wavy_Hair,25679.0,8400.0,12123.0,12055.0,13889.0,19153.0,7171.0,1591.0,1999.0,39927.0,11892.0,59680.0,3213.0,2217.0,34753.0,0.0,1215.0,53639.0
Wearing_Necktie,842.0,7194.0,480.0,4045.0,193.0,1478.0,3262.0,3246.0,2662.0,15.0,14697.0,10012.0,324.0,3381.0,7043.0,1215.0,0.0,5840.0
Young,47351.0,24171.0,24295.0,41889.0,24773.0,35679.0,24805.0,3202.0,5504.0,70699.0,53447.0,134597.0,7479.0,8103.0,74152.0,53639.0,5840.0,0.0
