,Arched_Eyebrows,Bags_Under_Eyes,Bangs,Black_Hair,Blond_Hair,Brown_Hair,Bushy_Eyebrows,Chubby,Eyeglasses,Heavy_Makeup,Male,No_Beard,Pale_Skin,Receding_Hairline,Smiling,Wavy_Hair,Wearing_Necktie,Young
z1,0.91335535,0.030250857,-0.002715142,0.056272406,0.04738378,0.05463824,0.011738296,-0.0013067211,-0.0005858797,0.16547558,-0.0005103002,0.23168494,-0.00020530194,-0.001310724,0.09075837,0.097371586,-0.0004964067,0.1990366
z2,0.013450326,1.0010543,-0.0005900691,0.01400514,-0.00086573226,0.015450503,0.017405672,0.035817485,-0.00093718,-0.00012715986,0.15235968,0.34525937,0.12589788,0.073992826,0.08910918,0.01244481,0.049907945,0.08393715
z3,0.0032853768,-0.0027631794,0.9672184,0.011098071,0.00933442,0.037965503,0.012565687,-0.0028632155,-0.00095029274,0.078680106,0.023599667,0.09204166,-0.00032439426,-0.00085161504,0.09611514,-0.0017206272,-0.00029282828,0.1093597
z4,0.047628347,-0.0014432559,0.02079105,0.9853863,-0.00033986455,0.02112737,0.060981598,-0.00086543383,-0.0011823464,-0.0011367962,-0.001377208,0.15863843,-0.0027732337,-0.0015520675,0.06961933,0.032554053,0.013024262,0.19154656
z5,0.051948186,-0.00027281558,0.057927433,0.009672568,0.9926375,0.08627862,0.31514734,-0.00018228946,-0.0010272214,0.22085758,0.06412412,0.31195676,0.15427566,0.33946738,0.20475082,0.1557947,0.051981654,0.23955962
z6,0.19834301,0.29066744,0.2947123,0.04514232,0.67364043,1.0002239,0.15990263,-0.0017282869,0.5980973,0.15299635,0.15995206,0.34196332,0.35585696,0.089176774,0.25141233,0.27939266,0.17712672,0.44166127
z7,-0.0020698286,0.011960838,-0.001342745,-0.00034240837,-0.00015544538,-0.002535295,1.0017383,-0.0004960542,-0.0024375014,-0.0001383725,-0.002135579,0.037589505,-0.001694738,-0.00024446924,0.046714555,0.021106718,-0.0028490887,-0.0036012516
z8,-0.001939003,0.012842855,-0.0011820641,-0.0017177407,-0.00304194,-0.0020511542,-0.0026502535,1.0001179,-0.0022504195,-0.0024213847,-0.00080360984,-0.00029702534,-8.210077e-05,-0.0026290389,0.016300488,-0.002848084,-0.00086333876,-4.790285e-05
z9,-0.0022464143,-0.0026813648,-0.0011463598,-0.0019503568,-0.0004764047,-0.0005149491,-0.0029423272,-0.002059287,1.0020006,-1.6169258e-06,-0.00088586996,-0.0018146624,-0.0030790104,-0.00039382046,-0.00050495844,-0.0026666783,-0.0010595447,-0.0019680427
z10,0.16788322,-6.789524e-05,0.06912221,-0.0023811883,0.040192146,0.092587374,0.05767232,-0.0019257802,-0.00050740124,1.0006055,-0.0024856941,0.35421622,-0.0023970653,-0.0002572054,0.21585068,-0.0012906361,-0.002032323,0.14872035
z11,0.080027565,0.12343516,0.4269573,0.15491022,-0.0010290195,0.076628245,0.12838712,0.032882564,0.06536689,0.2716447,1.0002762,0.3339934,0.49440172,0.16131431,0.45851353,0.21325447,0.12288632,0.32527587
z12,0.5077346,0.2688733,0.9904283,0.3039311,0.34234697,0.71390885,0.8163674,0.23483348,1.0021334,0.7963692,0.3281727,1.0013504,1.0023582,0.27404553,0.83040065,0.7273706,1.0006621,1.0027841
z13,0.22431375,0.10453492,0.20778526,0.18401729,0.8518754,0.3829766,0.25364754,0.38990083,0.44948936,0.162633,0.1518542,0.12787062,1.0009311,0.7606065,0.13918845,0.10672913,0.15077227,0.2645952
z14,0.88825214,0.13894628,0.7693342,0.2910594,0.13376911,0.054084923,0.22519985,0.17896873,0.6022255,0.09402724,0.2843269,0.1853793,0.030002583,1.000467,0.16522771,0.5673121,0.65362376,0.18081681
z15,0.20229095,0.16177475,0.13936278,0.15233022,0.4864369,0.100780316,0.18033017,0.037996303,0.046555575,0.30787235,0.35675856,0.5726294,0.40316144,0.21789977,1.001353,0.3557765,0.06575945,0.44235465
z16,0.84925365,0.3534141,0.74705976,0.24926001,0.6875051,0.16127309,0.14143285,0.060573306,0.3271746,0.27217394,0.1825113,0.37992784,0.3530397,0.18121772,0.5696806,0.98593366,0.46422064,0.41792983
z17,-0.0031057042,0.0063071237,-0.0026278778,-0.0004969306,-0.00053035014,-2.1591906e-05,-0.00223465,-0.00031952656,-0.0013088508,-0.0012825927,-0.00245062,0.034994174,0.017180612,0.008058291,0.020217702,-0.0013495992,1.0021334,-0.00088464486
z18,0.3623384,0.5718249,0.3097959,0.38084698,0.18793976,0.2536768,0.21766429,0.119344994,0.07250792,0.47095397,0.3133248,0.87332016,0.7854315,0.20873997,0.63647896,0.32230896,0.5818829,1.0000068
